

"OTU Board Wavelength Info Report"
"Save Time: 01/02/2015 11:12:31"
"User Name:c1ghutx8"
""

"Total 3,909 Records"

"NE Name","NE Type","NE ID","Slot No.","Board Name","Port No.","Port Name","Wavelength(Band/No./Wavelength/Frequency)"
ACPLXGHIO19.01,OptiX OSN 1800,12-2338,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/192.90/ACPLXGHIO19-ACPLXGLUO01),C/64/1554.13nm/192.900THz
ADLLXGAYO01.01,OptiX OSN 1800,12-2492,Shelf0(REPISA 1)-1,LQM2,1,1(IN1/OUT1_1/2.5Gb/192.9/ADLLXGAYO01-CZGDXGCRO06),C/64/1554.13nm/192.900THz
ADLLXGAYO01.01,OptiX OSN 1800,12-2492,Shelf0(REPISA 1)-1,LQM2,2,2(IN2/OUT2),/
ADLLXGAYO01.01,OptiX OSN 1800,12-2492,Shelf0(REPISA 1)-2,LOE,1,1(IN1/OUT1_1/10Gb/193.0/ADLLXGAYO01-CZGDXGCRO06),C/62/1553.33nm/193.000THz
ADLMXSVIO05.01,OptiX OSN 1800,12-1240,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/195.80/ADLMXSVIO05-NVLTXSNTO06),C/6/1531.12nm/195.800THz
AGPRXRBAO01.01,OptiX OSN 1800,12-1322,Shelf0(REPISA 1)-1,LQM,1,1(IN1/OUT1),CWDM/13/1511.00nm/-THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_2/10Gb/193.00/AJLPPBAJO03-THCNPBINO0R),C/62/1553.33nm/193.000THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-2,LOE,1,1(IN1/OUT1_2/10Gb/193.00/AJLPPBAJO03-SJMHPBSJO00),C/62/1553.33nm/193.000THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-3,LQM2,1,1(IN1/OUT1_5/2.5Gb/192.90/AJLPPBAJO03-THCNPBINO0R),C/64/1554.13nm/192.900THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-3,LQM2,2,2(IN2/OUT2_3/2.5Gb/192.90/AJLPPBAJO03-SJMHPBSJO00),C/64/1554.13nm/192.900THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-4,LOE,1,1(IN1/OUT1_3/10Gb/193.10/AJLPPBAJO03-THCNPBINO0R),C/60/1552.52nm/193.100THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-5,LSX,1,1(IN/OUT_1/10Gb/193.20/SJMHPBSJO00-THCNPBINO0R),C/58/1551.72nm/193.200THz
AJLPPBAJO03.01,OptiX OSN 1800,12-2291,Shelf0(REPISA 1)-5,LSX,3,3(RX/TX_1/10Gb/193.20/SJMHPBSJO00-THCNPBINO0R),C/58/1551.72nm/193.200THz
ALTMXTALO0F.01,OptiX OSN 1800,12-1229,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/193.30/ALTMXTALO0F-ALTMXTLAO01),C/56/1550.92nm/193.300THz
ALTMXTLAO01.01,OptiX OSN 1800,12-1228,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/193.30/ALTMXTALO0F-ALTMXTLAO01),C/56/1550.92nm/193.300THz
ALVRVRALO04.03,OptiX OSN 1800,12-2413,Shelf0(REPISA 3)-3,LOE,1,1(IN1/OUT1_1/10Gb/195.40/ALVRVRALO04-TCPAVRTLO01),C/14/1534.25nm/195.400THz
ALVRVRALO04.03,OptiX OSN 1800,12-2413,Shelf0(REPISA 3)-4,LOE,1,1(IN1/OUT1_1/10Gb/195.50/ALVRVRALO04-CKCRVRCCO00),C/12/1533.47nm/195.500THz
ALVRVRALO04.03,OptiX OSN 1800,12-2413,Shelf0(REPISA 3)-2,LOE,1,1(IN1/OUT1_2/10Gb/195.30/ALVRVRALO04-LDTJVRLTO05),C/16/1535.04nm/195.300THz
ALVRVRALO04.03,OptiX OSN 1800,12-2413,Shelf0(REPISA 3)-5,LQM2,1,1(IN1/OUT1_1/2.5Gb/193.40/ALVRVRALO04-CSLPVRCOO03),C/54/1550.12nm/193.400THz
ALVRVRALO04.03,OptiX OSN 1800,12-2413,Shelf0(REPISA 3)-5,LQM2,2,2(IN2/OUT2_1/2.5Gb/192.9/ALVRVRALO04-VRCZVRMOO0Q),C/64/1554.13nm/192.900THz
ALVRVRALO04.03,OptiX OSN 1800,12-2413,Shelf0(REPISA 3)-1,LOE,1,1(IN1/OUT1_5/10Gb/193.60/ALVRVRALO04-VRCZVRMOO0Q),C/50/1548.51nm/193.600THz
APZCXXAPO0P.02,OptiX OSN 1800,12-2296,Shelf0(REPISA 2)-1,LOE,1,1(IN1/OUT1),C/54/1550.12nm/193.400THz
APZCXXAPO0P.02,OptiX OSN 1800,12-2296,Shelf0(REPISA 2)-2,LOE,1,1(IN1/OUT1),C/52/1549.32nm/193.500THz
APZCXXAPO0P.02,OptiX OSN 1800,12-2296,Shelf0(REPISA 2)-3,LOE,1,1(IN1/OUT1),C/50/1548.51nm/193.600THz
APZCXXAPO0T.01,OptiX OSN 1800,12-2491,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/193.30/APZCXXAPO0T-TLMRXXPIO01),C/56/1550.92nm/193.300THz
APZCXXAPO0T.01,OptiX OSN 1800,12-2491,Shelf0(REPISA 1)-2,LOE,1,1(IN1/OUT1_1/10Gb/193.40/APZCXXAPO0T-SGTAXXXIO00),C/54/1550.12nm/193.400THz
APZCXXAPO0T.01,OptiX OSN 1800,12-2491,Shelf0(REPISA 1)-3,LOE,1,1(IN1/OUT1_1/10Gb/193.20/APZCXXAPO0T-TLMRXXTLO00),C/58/1551.72nm/193.200THz
APZCXXAPO0T.01,OptiX OSN 1800,12-2491,Shelf0(REPISA 1)-4,LSX,1,1(IN/OUT_1/10Gb/193.10/APZCXXAPO0T-CHGPPBCHO02),C/60/1552.52nm/193.100THz
APZCXXAPO0T.01,OptiX OSN 1800,12-2491,Shelf0(REPISA 1)-5,LSX,1,1(IN/OUT_1/10Gb/193.00/APZCXXAPO0T-ZCTLPBZTO01),C/62/1553.33nm/193.000THz
